ID,Título Serie o Película,Duración,Género,Calificación,Fecha,ID Episodio,Título Episodio,Temporada,Episodio
tt0088763,Back to the Future,116 min,"Adventure, Comedy, Sci-Fi",8.5,1985,,,,
tt0112851,Desperado,104 min,"Action, Crime, Thriller",7.2,1995,,,,
tt0477347,Night at the Museum,108 min,"Adventure, Comedy, Family, Fantasy",6.4,2006,,,,
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",7.5,2009–2010,tt1216522,Ghost,1,1
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",7.9,2009–2010,tt1216523,The Target,1,2
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",7.2,2009–2010,tt1216524,Stage Fright,1,3
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",7.7,2009–2010,tt1208132,Gray Hour,1,4
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",7.4,2009–2010,tt1216526,True Believer,1,5
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",8.7,2009–2010,tt1216525,Man on the Street,1,6
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",7.9,2009–2010,tt1216527,Echoes,1,7
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",8.4,2009–2010,tt1356321,Needs,1,8
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",8.7,2009–2010,tt1356320,A Spy in the House of Love,1,9
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",7.9,2009–2010,tt1356319,Haunted,1,10
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",8.8,2009–2010,tt1356318,Briar Rose,1,11
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",8.6,2009–2010,tt1385113,Omega,1,12
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",9.0,2009–2010,tt1417754,Epitaph One,1,13
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",7.8,2009–2010,tt1472477,Vows,2,1
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",7.4,2009–2010,tt1498132,Instinct,2,2
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",7.9,2009–2010,tt1484583,Belle Chose,2,3
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",8.8,2009–2010,tt1494936,Belonging,2,4
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",8.4,2009–2010,tt1518945,The Public Eye,2,5
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",8.6,2009–2010,tt1518944,The Left Hand,2,6
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",8.0,2009–2010,tt1535688,Meet Jane Doe,2,7
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",8.6,2009–2010,tt1535687,A Love Supreme,2,8
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",8.0,2009–2010,tt1535689,Stop-Loss,2,9
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",9.1,2009–2010,tt1535690,The Attic,2,10
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",8.9,2009–2010,tt1537128,Getting Closer,2,11
tt1135300,Dollhouse,44 min,"Drama, Mystery, Sci-Fi, Thriller",8.9,2009–2010,tt1537130,Epitaph Two: Return,2,13
tt0093870,RoboCop,102 min,"Action, Crime, Sci-Fi, Thriller",7.5,1987,,,,
tt0087332,Ghostbusters,105 min,"Action, Comedy, Fantasy",7.8,1984,,,,
tt0104009,Cool World,102 min,"Animation, Comedy, Fantasy",4.9,1992,,,,
tt0246578,Donnie Darko,113 min,"Drama, Mystery, Sci-Fi, Thriller",8.0,2001,,,,
tt0036775,Double Indemnity,107 min,"Crime, Drama, Film-Noir, Mystery, Thriller",8.3,1944,,,,
tt0120176,The Spanish Prisoner,110 min,"Drama, Mystery, Thriller",7.2,1997,,,,
tt5606664,Doctor Sleep,152 min,"Drama, Fantasy, Horror, Thriller",7.4,2019,,,,
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.3,2015–2019,tt3733950,Pilot,1,1
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.1,2015–2019,tt3822192,"Brother, Can You Spare a Brain?",1,2
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",7.9,2015–2019,tt4021078,The Exterminator,1,3
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",7.9,2015–2019,tt4089160,Liv and Let Clive,1,4
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.2,2015–2019,tt4142142,Flight of the Living Dead,1,5
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.2,2015–2019,tt4133384,Virtual Reality Bites,1,6
